ROM variant detected: ntsc-final
🎮 EXTRACTING FILES FROM NTSC-FINAL ROM
============================================================
Found 2015 file offset entries
Found 2014 file names

📋 DETAILED FILE LISTING (2014 files)
--------------------------------------------------------------------------------
Idx Type     Category  Size      Uncomp    Name
--------------------------------------------------------------------------------
399  Z    bgdata      30.5K     80.6K  bgdata/bg_tra_padsZ
400  Z    bgdata       175B      624B  bgdata/bg_tra_tilesZ
401  Z    bgdata      12.8K     33.2K  bgdata/bg_wax_padsZ
402  Z    bgdata       175B      624B  bgdata/bg_wax_tilesZ
403  Z    guns         3.9K      8.9K  GtestgunZ
404  Z    chrs        14.7K     45.6K  Cdd_labtechZ
405  Z    props        1.1K      2.5K  Pcctv_pdZ
406  Z    props        1.9K      4.7K  PcomhubZ
407  Z    props        833B      1.9K  PquadpodZ
408  Z    props        1.1K      2.5K  Ppd_consoleZ
409  Z    chrs        14.0K     39.1K  CconneryZ
410  Z    chrs        13.8K     39.1K  CmooreZ
411  Z    chrs        14.0K     39.2K  CdaltonZ
412  Z    chrs         6.5K     17.8K  Cheaddark_combatZ
413  Z    chrs         5.3K     15.0K  CheadelvisZ
414  Z    chrs         3.5K      9.8K  CheadrossZ
415  Z    chrs         4.6K     13.7K  CheadcarringtonZ
416  Z    chrs         4.6K     14.2K  CheadmrblondeZ
417  Z    chrs         4.5K     12.9K  CheadtrentZ
418  Z    chrs         3.9K      9.9K  CheadddshockZ
419  Z    chrs         3.4K      9.7K  CheadgrahamZ
420  Z    chrs         7.0K     19.6K  Cheaddark_frockZ
421  Z    chrs         4.5K     12.7K  CheadsecretaryZ
422  Z    chrs         7.1K     19.8K  CheadcassandraZ
423  Z    chrs         5.3K     15.0K  CheadthekingZ
424  Z    chrs         5.0K     14.2K  Cheadfem_guardZ
425  Z    chrs         3.6K     10.1K  CheadjonZ
426  Z    props        806B      1.9K  Plift_platformZ
427  Z    props        363B      768B  Pdd_grateZ
428  Z    props        291B      448B  PlightswitchZ
429  Z    props        979B      2.5K  PblastshieldZ
430  Z    props        681B      1.2K  Plightswitch2Z
431  Z    props        1.3K      3.1K  Pdd_accessdoorupZ
432  Z    props        532B      960B  Pdd_accessdoordnZ
433  Z    chrs        19.4K     60.0K  Cdark_rippedZ
434  Z    chrs         4.3K     11.9K  Cheadmark2Z
435  Z    chrs         4.2K     11.9K  CheadchristZ
436  Z    props        688B      1.4K  Plab_containerZ
437  Z    props        603B      1.3K  Plab_chairZ
438  Z    props        606B      1.2K  Plab_tableZ
439  Z    props        1.3K      2.8K  Plab_microscopeZ
440  Z    props        691B      1.6K  Plab_mainframeZ
441  Z    props        1.1K      2.9K  Pdd_labdoorZ
442  Z    props        806B      1.8K  Pdd_lab_doortopZ
443  Z    props        417B      808B  Pmulti_ammo_crateZ
444  Z    chrs         4.1K     11.9K  CheadrussZ
445  Z    chrs         3.6K     10.5K  CheadgreyZ
446  Z    chrs         4.2K     11.9K  CheaddarlingZ
447  Z    chrs        14.7K     45.8K  Cdd_guardZ
448  Z    chrs         3.6K     10.5K  CheadrobertZ
449  Z    chrs        43.7K    130.9K  Cdd_shockZ
450  Z    chrs         4.6K     13.2K  CheadbeauZ
451  Z    props        696B      1.5K  PchrchainZ
452  Z    chrs        15.7K     49.7K  Cdd_shock_infZ
453  Z    chrs         4.7K     13.0K  Cheadfem_guard2Z
454  Z    props       13.4K     41.0K  ProofgunZ
455  Z    props        320B      608B  PtdoorZ
456  Z    chrs        14.8K     45.7K  CbiotechZ
457  Z    chrs        15.0K     45.7K  CfbiguyZ
458  Z    props        8.4K     16.3K  PgroundgunZ
459  Z    chrs        15.3K     46.6K  CciaguyZ
460  Z    chrs        14.5K     42.1K  Ca51trooperZ
461  Z    chrs         4.3K     11.9K  CheadbrianZ
462  Z    chrs         3.9K     10.6K  CheadjamieZ
463  Z    chrs         3.8K     10.7K  Cheadduncan2Z
464  Z    chrs         3.7K     11.2K  CheadbiotechZ
465  Z    setup         30B       64B  UsetupuffZ
466  Z    setup         32B       64B  Ump_setupuffZ
467  Z    bgdata        22B       48B  bgdata/bg_uff_padsZ
